error,market_id,question
"HTTP 400 for https://clob.polymarket.com/prices-history?market=66431578832146851598775220954395781615051956253055240386337717850628602240805&startTs=1736130143&endTs=1738722143&fidelity=1: {""error"":""invalid filters: 'startTs' and 'endTs' interval is too long""}
",521790,"Will Trump say ""Iran"" during his February 4 press conference with Netanyahu?"
"HTTP 400 for https://clob.polymarket.com/prices-history?market=59133145609568788502416197833455266591458183768350321640381532171780448031174&startTs=1737930940&endTs=1740522940&fidelity=1: {""error"":""invalid filters: 'startTs' and 'endTs' interval is too long""}
",524357,"Will Karoline Leavitt say ""Iran"" during next White House press briefing?"
"HTTP 400 for https://clob.polymarket.com/prices-history?market=93503112984903783932675837770318090778589012130734741888476093654701845888030&startTs=1740032939&endTs=1742624939&fidelity=1: {""error"":""invalid filters: 'startTs' and 'endTs' interval is too long""}
",528759,Israeli military action against Iran by Friday?
"HTTP 400 for https://clob.polymarket.com/prices-history?market=21453350419137524068108982803427927723007928603805535457524619576388467550821&startTs=1740032949&endTs=1742624949&fidelity=1: {""error"":""invalid filters: 'startTs' and 'endTs' interval is too long""}
",528764,Fact Check: Did the U.S. hit Iranian spy ship?
"HTTP 400 for https://clob.polymarket.com/prices-history?market=80851366517111328820622087718488329132582929620008323317740223096708371015373&startTs=1740541510&endTs=1743133510&fidelity=1: {""error"":""invalid filters: 'startTs' and 'endTs' interval is too long""}
",531640,"Will Trump say ""Iran"" during today's Iftar Dinner?"
"HTTP 400 for https://clob.polymarket.com/prices-history?market=86694432335734636396932856641385680255504755784199174894479712878282922533334&startTs=1740698740&endTs=1743290740&fidelity=1: {""error"":""invalid filters: 'startTs' and 'endTs' interval is too long""}
",531897,Emmers vs. Miranda
"HTTP 400 for https://clob.polymarket.com/prices-history?market=109099146456188978192823972480172627473614560135423824743117322584183532139780&startTs=1740877815&endTs=1743469815&fidelity=1: {""error"":""invalid filters: 'startTs' and 'endTs' interval is too long""}
",532762,"Will Trump say ""Iran"" during Executive Order signing today?"
"HTTP 400 for https://clob.polymarket.com/prices-history?market=803845747400147154016107199450275835775243225115825552805217620770156566042&startTs=1740900666&endTs=1743492666&fidelity=1: {""error"":""invalid filters: 'startTs' and 'endTs' interval is too long""}
",528763,US military action against Iran before April?
"HTTP 400 for https://clob.polymarket.com/prices-history?market=113806191964330906304157188205249277745600606021695879898338715678637075979855&startTs=1740902174&endTs=1743494174&fidelity=1: {""error"":""invalid filters: 'startTs' and 'endTs' interval is too long""}
",528760,Israel military action against Iranian nuclear facility in March?
"HTTP 400 for https://clob.polymarket.com/prices-history?market=54600502781843617970405893877696581517860380992931855114171384178072757933599&startTs=1740907332&endTs=1743499332&fidelity=1: {""error"":""invalid filters: 'startTs' and 'endTs' interval is too long""}
",528761,Israel military action against Iran in March?
"HTTP 400 for https://clob.polymarket.com/prices-history?market=8631102011871754720536782624876346160186036466589409734780091373426454758236&startTs=1741470857&endTs=1744062857&fidelity=1: {""error"":""invalid filters: 'startTs' and 'endTs' interval is too long""}
",534857,"Will Trump say ""Iran"" 3+ times during Netanyahu events today?"
"HTTP 400 for https://clob.polymarket.com/prices-history?market=65705644848739509993599732002728458021293414197111410129457205885850830248407&startTs=1741727061&endTs=1744319061&fidelity=1: {""error"":""invalid filters: 'startTs' and 'endTs' interval is too long""}
",535819,"Will Trump say ""Iran"" 3+ times during his cabinet meeting on April 10?"
"HTTP 400 for https://clob.polymarket.com/prices-history?market=37480005786077232168491728028667052018971672136251707676670457687048789921456&startTs=1741811181&endTs=1744403181&fidelity=1: {""error"":""invalid filters: 'startTs' and 'endTs' interval is too long""}
",535981,"Will Karoline Leavitt say ""Iran"" 3+ times during next White House press briefing?"
"HTTP 400 for https://clob.polymarket.com/prices-history?market=63798294103556352138310065106043397996191783435681636975647527999860207250244&startTs=1743407293&endTs=1745999293&fidelity=1: {""error"":""invalid filters: 'startTs' and 'endTs' interval is too long""}
",519847,Will Trump meet with Ali Khamenei in his first 100 days?
